コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分
1400,ルーデン・ホールディングス,グロース（内国株式）,2050,建設業,3,建設・資材 
1401,エムビーエス,グロース（内国株式）,2050,建設業,3,建設・資材 
1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,2050,建設業,3,建設・資材 
1436,フィット,グロース（内国株式）,2050,建設業,3,建設・資材 
1447,ＩＴｂｏｏｋホールディングス,グロース（内国株式）,2050,建設業,3,建設・資材 
1739,メルディアＤＣ,グロース（内国株式）,2050,建設業,3,建設・資材 
2150,ケアネット,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2158,ＦＲＯＮＴＥＯ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2160,ジーエヌアイグループ,グロース（内国株式）,3250,医薬品,5,医薬品 
2164,地域新聞社,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2173,博展,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2178,トライステージ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2195,アミタホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2321,ソフトフロントホールディングス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
2334,イオレ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2342,トランスジェニック,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2351,ＡＳＪ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
2370,メディネット,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2385,総医研ホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2388,ウェッジホールディングス,グロース（内国株式）,7200,その他金融業,16,金融（除く銀行） 
2402,アマナ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2438,アスカネット,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2479,ジェイテック,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2497,ユナイテッド,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他 
2586,フルッタフルッタ,グロース（内国株式）,3050,食料品,1,食品 
2934,ジェイフロンティア,グロース（内国株式）,3050,食料品,1,食品 
2978,ツクルバ,グロース（内国株式）,8050,不動産業,17,不動産 
2981,ランディックス,グロース（内国株式）,8050,不動産業,17,不動産 
2983,アールプランナー,グロース（内国株式）,8050,不動産業,17,不動産 
2986,ＬＡホールディングス,グロース（内国株式）,8050,不動産業,17,不動産 
2987,タスキ,グロース（内国株式）,8050,不動産業,17,不動産 
2997,ストレージ王,グロース（内国株式）,8050,不動産業,17,不動産 
2998,クリアル,グロース（内国株式）,8050,不動産業,17,不動産 
3042,セキュアヴェイル,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3063,ジェイグループホールディングス,グロース（内国株式）,6100,小売業,14,小売 
3070,アマガサ,グロース（内国株式）,6050,卸売業,13,商社・卸売 
3133,海帆,グロース（内国株式）,6100,小売業,14,小売 
3137,ファンデリー,グロース（内国株式）,6100,小売業,14,小売 
3138,富士山マガジンサービス,グロース（内国株式）,6100,小売業,14,小売 
3140,ＢＲＵＮＯ,グロース（内国株式）,6050,卸売業,13,商社・卸売 
3185,夢展望,グロース（内国株式）,6100,小売業,14,小売 
3187,サンワカンパニー,グロース（内国株式）,6100,小売業,14,小売 
3195,ジェネレーションパス,グロース（内国株式）,6100,小売業,14,小売 
3224,ゼネラル・オイスター,グロース（内国株式）,6100,小売業,14,小売 
3237,イントランス,グロース（内国株式）,8050,不動産業,17,不動産 
3261,グランディーズ,グロース（内国株式）,8050,不動産業,17,不動産 
3286,トラストホールディングス,グロース（内国株式）,8050,不動産業,17,不動産 
3300,アンビション　ＤＸ　ホールディングス,グロース（内国株式）,8050,不動産業,17,不動産 
3359,ｃｏｔｔａ,グロース（内国株式）,6050,卸売業,13,商社・卸売 
3416,ピクスタ,グロース（内国株式）,6100,小売業,14,小売 
3418,バルニバービ,グロース（内国株式）,6100,小売業,14,小売 
3461,パルマ,グロース（内国株式）,8050,不動産業,17,不動産 
3474,Ｇ－ＦＡＣＴＯＲＹ,グロース（内国株式）,8050,不動産業,17,不動産 
3477,フォーライフ,グロース（内国株式）,8050,不動産業,17,不動産 
3479,ティーケーピー,グロース（内国株式）,8050,不動産業,17,不動産 
3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース（内国株式）,8050,不動産業,17,不動産 
3496,アズーム,グロース（内国株式）,8050,不動産業,17,不動産 
3497,ＬｅＴｅｃｈ,グロース（内国株式）,8050,不動産業,17,不動産 
3498,霞ヶ関キャピタル,グロース（内国株式）,8050,不動産業,17,不動産 
3541,農業総合研究所,グロース（内国株式）,6050,卸売業,13,商社・卸売 
3542,ベガコーポレーション,グロース（内国株式）,6100,小売業,14,小売 
3550,スタジオアタオ,グロース（内国株式）,6100,小売業,14,小売 
3556,リネットジャパングループ,グロース（内国株式）,6100,小売業,14,小売 
3557,ユナイテッド＆コレクティブ,グロース（内国株式）,6100,小売業,14,小売 
3558,ロコンド,グロース（内国株式）,6100,小売業,14,小売 
3566,ユニフォームネクスト,グロース（内国株式）,6100,小売業,14,小売 
3622,ネットイヤーグループ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3623,ビリングシステム,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3624,アクセルマーク,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3625,テックファームホールディングス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3628,データホライゾン,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3645,メディカルネット,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3646,駅探,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3652,ディジタルメディアプロフェッショナル,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3653,モルフォ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3664,モブキャストホールディングス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3671,ソフトマックス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3674,オークファン,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3680,ホットリンク,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3690,イルグルム,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3691,デジタルプラス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3692,ＦＦＲＩセキュリティ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3695,ＧＭＯリサーチ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3698,ＣＲＩ・ミドルウェア,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3723,日本ファルコム,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3727,アプリックス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3773,アドバンスト・メディア,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3777,ＦＨＴホールディングス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3782,ディー・ディー・エス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3793,ドリコム,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3803,イメージ情報開発,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3807,フィスコ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3814,アルファクス・フード・システム,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3815,メディア工房,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3842,ネクストジェン,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3900,クラウドワークス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3904,カヤック,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3905,データセクション,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3906,ＡＬＢＥＲＴ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3907,シリコンスタジオ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3908,コラボス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3911,Ａｉｍｉｎｇ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3913,ｓＭｅｄｉｏ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3914,ＪＩＧ－ＳＡＷ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3917,アイリッジ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3927,フーバーブレイン,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3929,ソーシャルワイヤー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3930,はてな,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3931,バリューゴルフ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3935,エディア,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
3936,グローバルウェイ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 
