コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分
1376,カネコ種苗,スタンダード（内国株式）,50,水産・農林業,1,食品 
1380,秋川牧園,スタンダード（内国株式）,50,水産・農林業,1,食品 
1381,アクシーズ,スタンダード（内国株式）,50,水産・農林業,1,食品 
1382,ホーブ,スタンダード（内国株式）,50,水産・農林業,1,食品 
1383,ベルグアース,スタンダード（内国株式）,50,水産・農林業,1,食品 
1384,ホクリヨウ,スタンダード（内国株式）,50,水産・農林業,1,食品 
1407,ウエストホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1418,インターライフホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1420,サンヨーホームズ,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1439,安江工務店,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1443,技研ホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1446,キャンディル,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1450,田中建設工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1451,ＫＨＣ,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1491,中外鉱業,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄 
1514,住石ホールディングス,スタンダード（内国株式）,1050,鉱業,2,エネルギー資源 
1711,ＳＤＳホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1717,明豊ファシリティワークス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 
1718,美樹工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1723,日本電技,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1724,シンクレイヤ,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1730,麻生フオームクリート,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1736,オーテック,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1743,コーアツ工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1757,中小企業ホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1758,太洋基礎工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1764,工藤建設,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1768,ソネック,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1770,藤田エンジニアリング,スタンダード（内国株式）,2050,建設業,3,建設・資材 
1775,富士古河Ｅ＆Ｃ,スタンダード（内国株式）,2050,建設業,3,建設・資材 
